adm0_name,adm0_code,adm1_name,adm1_code
Syria,238,Al-Hasakeh,900218
Syria,238,Aleppo,900219
Syria,238,As-Sweida,900221
Syria,238,Damascus,900222
Syria,238,Dar'a,900223
Syria,238,Hama,900225
Syria,238,Homs,900226
Syria,238,Lattakia,900228
Syria,238,Rural Damascus,900230
Syria,238,Tartous,900231
Syria,238,Ar-Raqqa,900220
Syria,238,Deir-ez-Zor,900224
Syria,238,Quneitra,900229
Cameroon,45,Centre,900960
Cameroon,45,Adamaoua,900959
Cameroon,45,Est,900961
Cameroon,45,Extr̻me-Nord,900962
Cameroon,45,Littoral,900963
Cameroon,45,Nord,900964
Cameroon,45,Nord-Ouest,900965
Cameroon,45,Ouest,900966
Cameroon,45,Sud,900967
Cameroon,45,Sud-Ouest,900968
Yemen,269,Abyan,3407
Yemen,269,Aden,3409
Yemen,269,Al Bayda,3410
Yemen,269,Al Dhale'e,3408
Yemen,269,Al Hudaydah,3411
Yemen,269,Al Jawf,3412
Yemen,269,Al Maharah,3413
Yemen,269,Al Mahwit,3414
Yemen,269,Amanat Al Asimah,144969
Yemen,269,Amran,3415
Yemen,269,Dhamar,3416
Yemen,269,Hajjah,3418
Yemen,269,Ibb,3419
Yemen,269,Lahj,3420
Yemen,269,Marib,3421
Yemen,269,Raymah,144971
Yemen,269,Sa'ada,3422
Yemen,269,Sana'a,3423
Yemen,269,Shabwah,3424
Yemen,269,Taizz,3425
Nigeria,182,Adamawa,2211
Nigeria,182,Borno,2216
Nigeria,182,Yobe,2240
Mali,155,Bamako,1926
Mali,155,Gao/Menaka,1927
Mali,155,Kayes,1928
Mali,155,Kidal,1929
Mali,155,Koulikoro,1930
Mali,155,Mopti,1931
Mali,155,Segou,1932
Mali,155,Sikasso,1933
Mali,155,Tombouctou/Taoudeni,1934
Burkina Faso,42,Boucle Du Mouhoun,900712
Burkina Faso,42,Cascades,900713
Burkina Faso,42,Centre,900714
Burkina Faso,42,Centre-Est,900715
Burkina Faso,42,Centre-Nord,900716
Burkina Faso,42,Centre-Ouest,900717
Burkina Faso,42,Centre-Sud,900718
Burkina Faso,42,Est,900719
Burkina Faso,42,Hauts-Bassins,900720
Burkina Faso,42,Nord,900721
Burkina Faso,42,Plateau Central,900722
Burkina Faso,42,Sahel,900723
Burkina Faso,42,Sud-Ouest,900724
Haiti,108,West,901001
Haiti,108,South-East,901002
Haiti,108,North,901003
Haiti,108,North-East,901004
Haiti,108,Artibonite,901005
Haiti,108,Centre,901006
Haiti,108,South,901007
Haiti,108,Grande'Anse,901008
Haiti,108,North-West,901009
Haiti,108,Nippes,901010
